個体識別番号,体重測定日,体重,報告
0870377592,2025/6/26,750,
1481617138,2025/6/26,625,
1600612327,2025/6/26,505,
1564158787,2025/6/26,650,
1560310509,2025/6/26,675,
1562211668,2025/6/26,725,
1508616144,2025/6/26,690,
0869876792,2025/6/26,780,
1407965015,2025/6/26,680,
1364242761,2025/6/26,635,
0866964768,2025/6/26,560,
0870038790,2025/6/26,635,
0870431621,2025/6/26,590,
1543218112,2025/6/26,590,
1435403701,2025/6/26,710,
1580312118,2025/6/26,745,
1571713542,2025/6/26,665,
1520014355,2025/6/26,670,
1508616250,2025/6/26,670,
1657709414,2025/6/26,570,
1642709061,2025/6/26,605,
1424929793,2025/6/26,720,
0867584514,2025/6/26,630,
1510516234,2025/6/26,670,
1459019452,2025/6/26,720,
1624010512,2025/6/26,570,
1550414682,2025/6/26,540,
1523106804,2025/6/26,620,
1663506182,2025/6/26,600,
1385026524,2025/6/26,690,
1415222841,2025/6/26,585,
1368435961,2025/6/26,730,
1496712736,2025/6/26,705,
1379836412,2025/6/26,655,
1510075182,2025/6/26,615,
1476417323,2025/6/26,565,
1482819234,2025/6/26,620,
1387530470,2025/6/26,550,
0869227020,2025/6/26,640,
1397629591,2025/6/26,620,
1494129574,2025/6/26,585,
1396629615,2025/6/26,580,
1578908057,2025/6/26,640,
1510517088,2025/6/26,550,
1457419025,2025/6/26,540,
1617612020,2025/6/26,535,
1417627415,2025/6/26,555,
1489617994,2025/6/26,665,
1498615578,2025/6/26,710,
0871964913,2025/6/26,520,
0871964753,2025/6/26,490,
1661609519,2025/6/26,635,
1571911016,2025/6/26,620,
1615311857,2025/6/26,680,
1512815960,2025/6/26,620,
1377537083,2025/7/26,585,
1588212465,2025/7/26,665,
0867045213,2025/7/26,635,
1397318044,2025/7/26,635,
1416916985,2025/7/26,645,
1661610300,2025/7/26,680,
1400430305,2025/7/26,655,
1609112170,2025/7/26,660,
0868482857,2025/7/26,650,
1636947370,2025/7/26,620,
1374326512,2025/7/26,640,
1679435018,2025/7/26,600,
1482215531,2025/7/26,690,
1566414201,2025/7/26,680,
1685210036,2025/7/26,555,
1525620650,2025/7/26,640,
1679426726,2025/7/26,615,
1619366617,2025/7/26,825,
0869226344,2025/7/26,810,
1635309506,2025/7/26,600,
1479714078,2025/7/26,700,
1612385622,2025/7/26,685,
1589215335,2025/7/26,720,
0864601689,2025/7/26,675,
1481617138,2025/7/26,680,
1600612327,2025/7/26,540,
1564158787,2025/7/26,660,
1508616144,2025/7/26,740,
0869876792,2025/7/26,785,
1407965015,2025/7/26,725,
1364242761,2025/7/26,655,
0866964768,2025/7/26,590,
0870038790,2025/7/26,665,
0870431621,2025/7/26,630,
1543218112,2025/7/26,655,
1435403701,2025/7/26,740,
1580312118,2025/7/26,815,
1571713542,2025/7/26,715,
1520014355,2025/7/26,700,
1508616250,2025/7/26,675,
1657709414,2025/7/26,595,
1642709061,2025/7/26,550,
1424929793,2025/7/26,770,
0867584514,2025/7/26,655,
1510516234,2025/7/26,735,
1459019452,2025/7/26,770,
1624010512,2025/7/26,630,
1550414682,2025/7/26,585,
1523106804,2025/7/26,650,
1663506182,2025/7/26,635,
1385026524,2025/7/26,610,
1368435961,2025/7/26,805,
1496712736,2025/7/26,765,
1379836412,2025/7/26,670,
1510075182,2025/7/26,625,
1476417323,2025/7/26,585,
1482819234,2025/7/26,640,
1387530470,2025/7/26,570,
0869227020,2025/7/26,695,
1397629591,2025/7/26,590,
1494129574,2025/7/26,540,
1396629615,2025/7/26,590,
1578908057,2025/7/26,645,
1510517088,2025/7/26,575,
1457419025,2025/7/26,555,
1617612020,2025/7/26,580,
1417627415,2025/7/26,605,
1489617994,2025/7/26,620,
1498615578,2025/7/26,640,
0871964913,2025/7/26,570,
0871964753,2025/7/26,530,
1661609519,2025/7/26,600,
1571911016,2025/7/26,570,
1615311857,2025/7/26,660,
1512815960,2025/7/26,625,
1562909121,2025/7/26,575,
1505522172,2025/7/26,630,
1530015557,2025/7/26,460,
1374934311,2025/7/26,535,
1408926978,2025/7/26,555,
1630444059,2025/7/26,575,
1522604028,2025/7/26,500,
1621204945,2025/7/26,570,
1609009708,2025/7/26,615,
1413336755,2025/7/26,580,
1485916145,2025/7/26,610,
1417627378,2025/7/26,545,
1402125322,2025/7/26,570,
1628813027,2025/7/26,535,
1618408745,2025/7/26,565,
1539114718,2025/7/26,580,
1415735914,2025/7/26,535,
1476893776,2025/7/26,510,
1530015854,2025/7/26,565,
1533614931,2025/7/26,590,
1375061702,2025/7/26,565,
1492518004,2025/7/26,495,
1669904760,2025/7/26,470,
1482914205,2025/7/26,,
1377537083,2025/8/25,640,
0867045213,2025/8/25,655,
1397318044,2025/8/25,680,
1416916985,2025/8/25,660,
0868482857,2025/8/25,680,
1636947370,2025/8/25,660,
1374326512,2025/8/25,670,
1679435018,2025/8/25,660,
1685210036,2025/8/25,610,
1525620650,2025/8/25,700,
1679426726,2025/8/25,645,
1635309506,2025/8/25,630,
1600612327,2025/8/25,580,
0866964768,2025/8/25,605,
0870431621,2025/8/25,680,
1435403701,2025/8/25,790,
1580312118,2025/8/25,870,
1571713542,2025/8/25,750,
1657709414,2025/8/25,610,
1424929793,2025/8/25,825,
0867584514,2025/8/25,580,
1510516234,2025/8/25,745,
1459019452,2025/8/25,770,
1624010512,2025/8/25,690,
1550414682,2025/8/25,645,
1523106804,2025/8/25,710,
1663506182,2025/8/25,675,
1368435961,2025/8/25,840,
1496712736,2025/8/25,800,
1379836412,2025/8/25,630,
1510075182,2025/8/25,675,
1476417323,2025/8/25,640,
